 33 Across,33Across
 Adobe Dynamic Tag Management,Adobe Dynamic Tag Management (Launch)
 Adobe Marketing Cloud,Adobe Experience Cloud
 Alexa Certified Site Metrics,Alexa Certified Site Metrics
 Alexa Metrics,Alexa Metrics
 AppDynamics,AppDynamics
 Bazaarvoice,Bazaarvoice
 Bing Universal Event Tracking,Bing Universal Event Tracking
 Bombora,Bombora
 Branch,Branch
 Chartbeat,Chartbeat
 ClickTale,Clicktale
 comScore,comScore
 CQuotient,Salesforce Commerce Cloud
 CrazyEgg,CrazyEgg
 Cross Pixel Media,Cross Pixel
 Datalogix,Datalogix (Oracle Data Cloud)
 DataXu,DataXu
 Demandbase,Demandbase
 Digioh,Digioh
 Dotomi,Conversant 
 DoubleClick Floodlight,DoubleClick Floodlight
 Dynatrace,Dynatrace
 Efficient Frontier,Adobe Advertising Cloud
 Eloqua,Oracle Eloqua
 Everest Technologies,Adobe Advertising Cloud
 ExposeBox,ExposeBox
 Facebook Conversion Tracking,Facebook pixel
 Facebook Domain Insights,Do not use
 Facebook Pixel,Facebook pixel
 Facebook Signal,Do not use
 Facebook Tag API,Facebook Pixel
 Fastly,Do not use
 Flipp,Do not use
 ForeSee Results,ForeSee
 Gemius PL,Gemius
 Google Analytics,Google Analytics
 Google Analytics IP Anonymization,Do not use
 Google Analytics with Ad Tracking,Google Analytics
 Google Conversion Tracking,Google Conversion Tracking
 Google Global Site Tag,Google Global Site Tag (gtag.js)
 Google Optimize 360,Google Optimize
 Hotjar,Hotjar
 Hubspot,Hubspot
 IgnitionOne,IgnitionOne
 iGoDigital,Salesforce Email Studio
 InsightExpress,Kantar Millward Brown Solutions
 IXI Digital,Equifax Digital Targeting Segments
 Kenshoo,Kenshoo
 Krux Digital,Salesforce DMP
 LinkedIn Insights,LinkedIn Marketing Solutions
 LiveRamp,LiveRamp
 Loggly,Loggly
 Lotame Crowd Control,Lotame
 Marin Software,Marin Software
 Marketo,Marketo
 Matomo,Matomo (formerly Piwik)
 MediaMath,MediaMath
 MediaMind,Sizmek
 Microsoft Application Insights,Azure Application Insights
 Mixpanel,Mixpanel
 Moat,Moat
 Monetate,Monetate
 Netmining,Netmining
 New Relic,New Relic
 Nielsen//NetRatings,Nielsen
 Omniture Adobe Test and Target,Adobe Target
 Omniture SiteCatalyst,Adobe Analytics
 Optimizely,Optimizely
 OwnerIQ,OwnerIQ
 PageFair,PageFair
 Pardot,Salesforce Pardot
 Parse.ly,Parse.ly
 Pingdom RUM,Pingdom RUM
 Pixalate,Pixalate
 Qualia,Qualia Analytics
 Quantcast Measurement,Quantcast
 Rapleaf,TowerData
 Salesforce,Salesforce CRM
 Segment,Segment
 Sift Science,Sift
 Signal,Signal
 Snowplow,Snowplow Analytics
 Soasta mPulse,Akamai mPulse
 StatCounter,Statcounter
 TeaLeaf,IBM Watson Customer Experience Analytics
 Twitter Analytics,Twitter Analytics
 Twitter Conversion Tracking,Twitter Conversion Tracking
 Twitter Website Universal Tag,Twitter Conversion Tracking
 Tynt Tracer,Do not use
 Visual Website Optimizer,Visual Website Optimizer (VWO) 
 VoiceFive,Comscore
 WebTrends,Webtrends
 Yahoo Dot,Do not use
 Yahoo Web Analytics,Do not use
 Yandex Metrika,Yandex Metrica
 Yieldr,Do not use
 4Cite,4Cite
 AB Tasty,AB Tasty
 Active Campaign,Active Campaign
 Adjust,Adjust
 Adobe CQ Analytics,Adobe Analytics
 Adrizer,Adrizer
 AirPR,AirPR
 Amplitude,Amplitude
 Attentive,Attentive
 AudioEye,AudioEye
 AvantMetrics,AvantMetrics
 aWeber,aWeber
 Baidu Analytics,Baidu Analytics
 Beeketing,Beeketing
 Bizible,Bizible
 BloomReach,BloomReach
 Blue Triangle Tech,Blue Triangle
 BlueConic,BlueConic
 BlueCore,BlueCore
 Bold Commerce,Bold Commerce
 Boomtrain,Zetahub
 Braze,Braze
 Bronto,Oracle Bronto
 Cardlytics,Cardlytics
 Cedexis,Do not use
 Certona,Certona
 ChannelAdvisor,ChannelAdvisor
 Clicky,Do not use
 Convert,Do not use
 ConvertKit,ConvertKit
 Convertro,Do not use
 Coremetrics,IBM Digital Analytics
 Crimson Hexagon,Crimson Hexagon
 Curalate,Curalate
 DC Storm,Rakuten Marketing 
 Decibel Insight,Decibel Insight
 Digital Window,Do not use
 Distil Bot Discovery,Do not use
 Drip,Drip
 Dynamic Yield,Dynamic Yield
 Evergage,Evergage
 Exactag,Exactag
 Extole,Extole
 Foresee Answers Cloud,Foresee
 Forter,Forter
 Fraudlogix,Fraudlogix
FullStory,FullStory
 Google Content Experiments,Do not use
 Heap,Heap
 Infusionsoft,Infusionsoft
 Inspectlet,Inspectlet
 Instart Logic Loader,Instart
 iovation,Do not use
 iPerceptions,iPerceptions
 Jetlore,Do not use
 Keen IO,Keen IO
 Keywee,Keywee
 KISSmetrics,KISSmetrics
 Klaviyo,Klaviyo
 LiftIgniter,LiftIgniter
 Listrak,Listrak
 Lucky Orange,Lucky Orange
 Lytics,Lytics
 MailerLite,MailerLite
 Mailite Lite,Do not use
 MailMunch,Do not use
 Maxymiser,Oracle Maxymiser
 MiloTree,Do not use
 Mouseflow,Mouseflow
 NaviStone,Do not use
 OpinionLab,OpinionLab
 PayPal Marketing Solutions,Do not use
 Placed,Placed
 Placester,Do not use
 PriceSpider,PriceSpider
 Quantum Metric,Quantum Metric
 Raygun,Do not use
 Reflektion,Reflektion
 Riskified,Do not use
 Salesforce Web to Lead,Salesforce CRM
 ScarabResearch,ScarabResearch
 SecuredVisit,Do not use
 SessionCam,SessionCam
 Shareaholic,Shareaholic
 ShieldSquare,Do not use
 Sidecar,Do not use
 Silverpop,IBM Digital Marketing
